filename,species_code
2460203.631828_Tautenburg___6101-10148kHz___10-11.6s___st.wav,st
2460226.648571_Tautenburg___6181-10731kHz___10-11.5s___st.wav,st
2459865.626451_Tautenburg___6524-9927kHz___10-11s___st.wav,st
2459872.696393_Tautenburg___6403-10349kHz___10-11.6s___st.wav,st
2460227.702096_Tautenburg___6665-10652kHz___10-11.2s___st.wav,st
2459864.553271_Tautenburg___5699-9766kHz___10-11.1s___st.wav,st
2460218.560282_Tautenburg___5759-9806kHz___10-11.3s___st.wav,st
2460235.203710_Tautenburg___6101-10289kHz___10-15.4s___st.wav,st
2459872.703823_Tautenburg___6383-11054kHz___10-11.1s___st.wav,st
2459654.690729_Tautenburg___5738-8496kHz___10-11s___st.wav,st
2459872.673212_Tautenburg___6000-10329kHz___10-11.3s___st.wav,st
2460217.687501_Tautenburg___6242-11014kHz___10-11.4s___st.wav,st
2459862.339822_Tautenburg___5597-9805kHz___10-11.2s___st.wav,st
2460023.378111_Tautenburg___6081-10390kHz___10-26.6s___st.wav,st
2459683.487613_Tautenburg___6221-9785kHz___10-11.6s___st.wav,st
2460417.450012_Tautenburg___5295-10067kHz___10-16.6s___st.wav,st
2459844.677702_Tautenburg___6685-11094kHz___10-11.2s___st.wav,st
2459847.557583_Tautenburg___6302-9564kHz___10-11.3s___st.wav,st
2460231.709775_Tautenburg___6283-10390kHz___10-11.8s___st.wav,st
2460213.285286_Tautenburg___5678-9363kHz___10-11.6s___st.wav,st
2460231.370444_Tautenburg___6483-10309kHz___10-11.4s___st.wav,st
2460227.541531_Tautenburg___5416-9242kHz___10-11.4s___st.wav,st
2459859.536815_Tautenburg___6202-10007kHz___10-11.2s___st.wav,st
2460206.679584_Tautenburg___6101-10410kHz___10-11.3s___st.wav,st
2459832.484541_Tautenburg___5980-9765kHz___10-11.3s___st.wav,st
2460191.645807_Tautenburg___6625-11256kHz___10-18.3s___st.wav,st
2459859.639545_Tautenburg___6484-10471kHz___10-11.1s___st.wav,st
2460243.721769_Tautenburg___5960-10007kHz___10-12s___st.wav,st
2459846.665008_Tautenburg___5557-10591kHz___10-11.1s___st.wav,st
2460226.546668_Tautenburg___6142-10249kHz___10-11.6s___st.wav,st
2460244.393604_Tautenburg___5678-10289kHz___10-10.9s___st.wav,st
2459847.578086_Tautenburg___6020-8778kHz___10-11.2s___st.wav,st
2459860.292514_Tautenburg___6322-10570kHz___10-11s___st.wav,st
2459865.676524_Tautenburg___6061-9162kHz___10-11s___st.wav,st
2460193.652409_Tautenburg___5578-9947kHz___10-11.7s___st.wav,st
2460232.704667_Tautenburg___6362-10188kHz___10-11s___st.wav,st
2459869.460074_Tautenburg___6262-10430kHz___10-11s___st.wav,st
2459862.664122_Tautenburg___6846-9987kHz___10-11.3s___st.wav,st
2459650.510608_Tautenburg___5517-9745kHz___10-16s___st.wav,st
2460218.687215_Tautenburg___6443-10047kHz___10-11.7s___st.wav,st
2460234.700262_Tautenburg___5860-9021kHz___10-13.6s___st.wav,st
2459862.466947_Tautenburg___6946-9886kHz___10-11s___st.wav,st
2460235.668812_Tautenburg___5558-9665kHz___10-11.8s___st.wav,st
2459860.587267_Tautenburg___6584-9685kHz___10-11.2s___st.wav,st
2460243.718768_Tautenburg___6141-9705kHz___10-11.1s___st.wav,st
2459862.525970_Tautenburg___6202-9403kHz___10-11.2s___st.wav,st
2460224.693779_Tautenburg___6201-10631kHz___10-15.2s___st.wav,st
2460234.250039_Tautenburg___6544-11195kHz___10-11.7s___st.wav,st
2459862.600893_Tautenburg___6664-9966kHz___10-11s___st.wav,st
2459862.593351_Tautenburg___6403-9705kHz___10-11.1s___st.wav,st
2459631.731317_Tautenburg___6279-10348kHz___10-11s___st.wav,st
2459865.308220_Tautenburg___5457-10088kHz___10-11.2s___st.wav,st
2460258.739152_Tautenburg___5517-10410kHz___10-16.8s___st.wav,st
2460234.250251_Tautenburg___6100-10248kHz___10-12.3s___st.wav,st
2459870.530775_Tautenburg___6061-9544kHz___10-11.1s___st.wav,st
2460218.463327_Tautenburg___6242-10047kHz___10-11.4s___st.wav,st
2460212.669849_Tautenburg___6704-10530kHz___10-11.2s___st.wav,st
2460212.664509_Tautenburg___5416-9846kHz___10-11.7s___st.wav,st
2460212.655834_Tautenburg___6846-10470kHz___10-12.7s___st.wav,st
2459850.491999_Tautenburg___6222-11376kHz___10-11.1s___st.wav,st
2460226.409450_Tautenburg___5678-9524kHz___10-11.8s___st.wav,st
2460232.537770_Tautenburg___6282-10410kHz___10-11.7s___st.wav,st
2460213.314711_Tautenburg___6142-10551kHz___10-11.4s___st.wav,st
2459872.475793_Tautenburg___5517-8477kHz___10-10.9s___st.wav,st
2460259.737292_Tautenburg___6363-11195kHz___10-11s___st.wav,st
2460203.459020_Tautenburg___5719-9766kHz___10-11.6s___st.wav,st
2459859.657459_Tautenburg___6061-9162kHz___10-11.2s___st.wav,st
2460250.615814_Tautenburg___6081-10692kHz___10-11.5s___st.wav,st
2459872.508611_Tautenburg___5819-8698kHz___10-11.1s___st.wav,st
2460231.710148_Tautenburg___6464-9625kHz___10-11.7s___st.wav,st
2459845.481842_Tautenburg___6322-9282kHz___10-11s___st.wav,st
2460438.478066_Tautenburg___6101-10732kHz___10-11.7s___st.wav,st
2460212.575831_Tautenburg___5980-10550kHz___10-12s___st.wav,st
2459862.598975_Tautenburg___6021-10068kHz___10-11s___st.wav,st
2460408.464202_Tautenburg___5981-11598kHz___10-12.3s___st.wav,st
2460240.701918_Tautenburg___5517-10571kHz___10-14.2s___st.wav,st
2460212.573183_Tautenburg___6644-10892kHz___10-11.5s___st.wav,st
2460226.493558_Tautenburg___5194-10248kHz___10-11.4s___st.wav,st
2459862.362977_Tautenburg___6241-10067kHz___10-11.3s___st.wav,st
2460203.553751_Tautenburg___5779-9685kHz___10-11.3s___st.wav,st
2460213.674744_Tautenburg___6242-10732kHz___10-13s___st.wav,st
2460226.522539_Tautenburg___5256-9927kHz___10-13.8s___st.wav,st
2460216.430737_Tautenburg___6644-10268kHz___10-11.3s___st.wav,st
2460251.541403_Tautenburg___6161-10188kHz___10-11.6s___st.wav,st
2460220.659317_Tautenburg___6202-9887kHz___10-11.4s___st.wav,st
2460219.531545_Tautenburg___5860-10551kHz___10-11.6s___st.wav,st
2460234.703460_Tautenburg___6624-10268kHz___10-11.7s___st.wav,st
2460233.486892_Tautenburg___5678-10047kHz___10-11.3s___st.wav,st
2460234.194247_Tautenburg___5939-10389kHz___10-17s___st.wav,st
2459862.589069_Tautenburg___6705-9222kHz___10-11s___st.wav,st
2459847.434330_Tautenburg___5819-9121kHz___10-11s___st.wav,st
2459865.626431_Tautenburg___5859-8839kHz___10-11s___st.wav,st
2460212.659064_Tautenburg___6625-10048kHz___10-11s___st.wav,st
2460226.403079_Tautenburg___6101-9061kHz___10-11.6s___st.wav,st
2460218.569317_Tautenburg___5839-9906kHz___10-11.3s___st.wav,st
2460257.738727_Tautenburg___6725-11094kHz___10-12.3s___st.wav,st
2459845.528349_Tautenburg___6242-9262kHz___10-11s___st.wav,st
2460215.537146_Tautenburg___6624-10550kHz___10-11.9s___st.wav,st
2460227.699298_Tautenburg___5799-9967kHz___10-11.1s___st.wav,st
2460218.555592_Tautenburg___5215-10309kHz___10-11.9s___st.wav,st
2460202.602268_Tautenburg___5980-9584kHz___10-14.5s___st.wav,st
2460241.714925_Tautenburg___5719-10390kHz___10-13.9s___st.wav,st
2460231.710185_Tautenburg___6544-9967kHz___10-13.3s___st.wav,st
2460208.615895_Tautenburg___6282-10188kHz___10-11.2s___st.wav,st
2459864.629035_Tautenburg___6081-8900kHz___10-11.1s___st.wav,st
2460235.196115_Tautenburg___6705-10651kHz___10-11.7s___st.wav,st
2459862.684538_Tautenburg___6242-10128kHz___10-11.2s___st.wav,st
2459860.501514_Tautenburg___6242-9927kHz___10-11.2s___st.wav,st
2459650.702438_Tautenburg___6363-10672kHz___10-17.8s___st.wav,st
2460218.628564_Tautenburg___5356-10228kHz___10-11.6s___st.wav,st
2460226.614672_Tautenburg___6020-9725kHz___10-11.4s___st.wav,st
2460415.362410_Tautenburg___5679-10974kHz___10-11.1s___st.wav,st
2460230.630022_Tautenburg___6302-10128kHz___10-11s___st.wav,st
2459684.603129_Tautenburg___6443-9846kHz___10-11.2s___st.wav,st
2460248.724482_Tautenburg___6887-10994kHz___10-13s___st.wav,st
2460229.708691_Tautenburg___5739-10934kHz___10-11.6s___st.wav,st
2459692.622069_Tautenburg___5920-10269kHz___10-11.3s___st.wav,st
2460229.478309_Tautenburg___6604-10188kHz___10-11.4s___st.wav,st
2460243.727060_Tautenburg___6303-10692kHz___10-11.5s___st.wav,st
2459898.509972_Tautenburg___6101-9786kHz___10-11.3s___st.wav,st
2460212.437497_Tautenburg___6343-10450kHz___10-11.7s___st.wav,st
2459667.664805_Tautenburg___5960-9262kHz___10-11.8s___st.wav,st
2460218.361678_Tautenburg___5980-9624kHz___10-17.9s___st.wav,st
2460235.194161_Tautenburg___6323-10410kHz___10-13.9s___st.wav,st
2460241.338053_Tautenburg___5980-11376kHz___10-14.3s___st.wav,st
2460022.562424_Tautenburg___5154-9362kHz___10-11.6s___st.wav,st
2459836.493915_Tautenburg___6282-10148kHz___10-11.1s___st.wav,st
2459862.418594_Tautenburg___5738-8718kHz___10-11.2s___st.wav,st
2460201.546978_Tautenburg___5819-9886kHz___10-18.9s___st.wav,st
2460234.437791_Tautenburg___5658-10430kHz___10-12s___st.wav,st
2460203.658756_Tautenburg___5900-9665kHz___10-11.6s___st.wav,st
2460039.602837_Tautenburg___6604-10289kHz___10-11.8s___st.wav,st
2459875.714510_Tautenburg___6745-10752kHz___10-11.1s___st.wav,st
2459687.589148_Tautenburg___6182-9343kHz___10-11.1s___st.wav,st
2459836.476957_Tautenburg___5436-9926kHz___10-11.2s___st.wav,st
2460237.379391_Tautenburg___5920-10752kHz___10-11.8s___st.wav,st
2459863.412450_Tautenburg___5839-9081kHz___10-11.1s___st.wav,st
2459860.585845_Tautenburg___5517-9322kHz___10-11.2s___st.wav,st
2459872.703878_Tautenburg___6242-10047kHz___10-10.9s___st.wav,st
2459844.595550_Tautenburg___6362-8718kHz___10-11s___st.wav,st
2460223.689512_Tautenburg___6826-11497kHz___10-11.5s___st.wav,st
2460418.457847_Tautenburg___6524-10732kHz___10-11.3s___st.wav,st
2460212.669162_Tautenburg___6524-10531kHz___10-11.4s___st.wav,st
2460232.315153_Tautenburg___5839-9383kHz___10-11.3s___st.wav,st
2460212.571614_Tautenburg___6061-10329kHz___10-11.4s___st.wav,st
2460211.685031_Tautenburg___6040-10570kHz___10-20.2s___st.wav,st
2460226.493369_Tautenburg___6262-9725kHz___10-11.4s___st.wav,st
2459671.684423_Tautenburg___5940-10047kHz___10-14.1s___st.wav,st
2460261.703614_Tautenburg___7047-10470kHz___10-11.4s___st.wav,st
2459683.623953_Tautenburg___5195-9967kHz___10-12.2s___st.wav,st
2460235.194222_Tautenburg___6725-11014kHz___10-11.1s___st.wav,st
2459872.669221_Tautenburg___6524-10309kHz___10-11s___st.wav,st
2459872.684670_Tautenburg___6302-10329kHz___10-10.9s___st.wav,st
2460218.683877_Tautenburg___5698-10228kHz___10-12.2s___st.wav,st
2459862.575039_Tautenburg___6826-9725kHz___10-11.1s___st.wav,st
2460023.555073_Tautenburg___6061-11316kHz___10-11.7s___st.wav,st
2460226.532032_Tautenburg___6967-9524kHz___10-11.4s___st.wav,st
2460237.419431_Tautenburg___5759-10974kHz___10-11.7s___st.wav,st
2460024.681667_Tautenburg___5054-8739kHz___10-11.6s___st.wav,st
2460226.412161_Tautenburg___5920-9282kHz___10-11.3s___st.wav,st
2460044.494523_Tautenburg___6484-10571kHz___10-11.3s___st.wav,st
2459650.544347_Tautenburg___7309-10913kHz___10-11.6s___st.wav,st
2460232.322079_Tautenburg___5658-9906kHz___10-11.4s___st.wav,st
2460215.450145_Tautenburg___6523-10711kHz___10-11.7s___st.wav,st
2459862.369882_Tautenburg___6806-9866kHz___10-11.1s___st.wav,st
2460217.622002_Tautenburg___6746-10551kHz___10-11.4s___st.wav,st
2460228.699336_Tautenburg___6805-10731kHz___10-11.2s___st.wav,st
2459862.524698_Tautenburg___5758-9986kHz___10-11.4s___st.wav,st
2460226.430793_Tautenburg___5960-9020kHz___10-11.4s___st.wav,st
2460230.482799_Tautenburg___6443-10732kHz___10-11.4s___st.wav,st
2460213.336582_Tautenburg___6644-10188kHz___10-11.5s___st.wav,st
2460236.370831_Tautenburg___5678-9946kHz___10-12s___st.wav,st
2459862.638616_Tautenburg___6725-9504kHz___10-11.3s___st.wav,st
2459691.490984_Tautenburg___5718-10168kHz___10-11.3s___st.wav,st
2459864.425613_Tautenburg___6282-9322kHz___10-11s___st.wav,st
2460216.606446_Tautenburg___6242-10128kHz___10-11.4s___st.wav,st
2460203.632051_Tautenburg___5738-9382kHz___10-11.1s___st.wav,st
2459862.384315_Tautenburg___6282-10309kHz___10-11.3s___st.wav,st
2460244.425842_Tautenburg___5678-9564kHz___10-11.1s___st.wav,st
2460257.745343_Tautenburg___6805-10691kHz___10-11.1s___st.wav,st
2459845.425368_Tautenburg___6483-9543kHz___10-11s___st.wav,st
2460205.659328_Tautenburg___6584-10430kHz___10-11.2s___st.wav,st
2460228.694297_Tautenburg___6443-10450kHz___10-11.5s___st.wav,st
2460226.496669_Tautenburg___5799-9463kHz___10-11.2s___st.wav,st
2460211.485713_Tautenburg___5900-9866kHz___10-11.9s___st.wav,st
2460233.692654_Tautenburg___6040-11154kHz___10-14.1s___st.wav,st
2460226.547200_Tautenburg___5657-9483kHz___10-11.4s___st.wav,st
2460235.701812_Tautenburg___6141-10349kHz___10-11.7s___st.wav,st
2459668.629557_Tautenburg___6121-9383kHz___10-11.5s___st.wav,st
2459862.330281_Tautenburg___6423-9383kHz___10-11s___st.wav,st
2460232.567830_Tautenburg___6624-10611kHz___10-11.4s___st.wav,st
2459872.571624_Tautenburg___5899-9443kHz___10-10.9s___st.wav,st
2460226.505815_Tautenburg___5939-9483kHz___10-11.2s___st.wav,st
2460215.220820_Tautenburg___6887-11578kHz___10-12s___st.wav,st
2459844.678636_Tautenburg___6443-10631kHz___10-15.7s___st.wav,st
2460202.646791_Tautenburg___5960-9645kHz___10-11.4s___st.wav,st
2460226.380069_Tautenburg___6382-10530kHz___10-12s___st.wav,st
2459858.573583_Tautenburg___6343-9444kHz___10-11s___st.wav,st
2460214.291890_Tautenburg___5779-9564kHz___10-11s___st.wav,st
2460213.397893_Tautenburg___6343-10732kHz___10-11.6s___st.wav,st
2459865.340748_Tautenburg___6645-10068kHz___10-11s___st.wav,st
2460418.360318_Tautenburg___6161-10731kHz___10-20.7s___st.wav,st
2459680.359417_Tautenburg___6403-9826kHz___10-11.2s___st.wav,st
2459651.699546_Tautenburg___6523-11577kHz___10-11.6s___st.wav,st
2460192.639175_Tautenburg___5799-9443kHz___10-11.7s___st.wav,st
2460203.444098_Tautenburg___6001-10108kHz___10-11.4s___st.wav,st
2460221.680902_Tautenburg___6343-10350kHz___10-11.4s___st.wav,st
2460218.659634_Tautenburg___6343-10934kHz___10-11.6s___st.wav,st
2459852.674558_Tautenburg___6423-9866kHz___10-11.3s___st.wav,st
2459828.665978_Tautenburg___5235-10611kHz___10-14.2s___st.wav,st
2460240.706376_Tautenburg___6443-10591kHz___10-10.9s___st.wav,st
2459860.426784_Tautenburg___6604-9866kHz___10-11s___st.wav,st
2459859.254288_Tautenburg___6584-10611kHz___10-11s___st.wav,st
2460411.638276_Tautenburg___6040-11114kHz___10-14s___st.wav,st
2460202.661340_Tautenburg___6041-9826kHz___10-14.4s___st.wav,st
2460044.496150_Tautenburg___6141-10148kHz___10-11.7s___st.wav,st
2460215.652482_Tautenburg___6242-9947kHz___10-11.6s___st.wav,st
2460252.734886_Tautenburg___6786-10773kHz___10-11.6s___st.wav,st
2459652.701249_Tautenburg___5779-9766kHz___10-11.3s___st.wav,st
2460213.669644_Tautenburg___6363-10772kHz___10-14.3s___st.wav,st
2459862.372490_Tautenburg___6342-9624kHz___10-11s___st.wav,st
2459865.329588_Tautenburg___6625-11034kHz___10-11.3s___st.wav,st
2459862.458503_Tautenburg___6927-9524kHz___10-11s___st.wav,st
2460226.657420_Tautenburg___6162-10209kHz___10-11.3s___st.wav,st
