filename,Species Name English,low_freq,high_freq,start,end,year,month,day,part_of_day,hour,season,spectrogram
2459627.747574_Tautenburg___6445-9068kHz___10-11.6s___b.,"'Blackbird',",6445,9068,10,11.6,2022,2,17,Morning,05,Winter,"[[-32.974556 -34.52243  -43.58352  ... -34.910828 -43.79991  -47.243324]
 [-29.79299  -28.040419 -33.5026   ... -32.287865 -33.669777 -32.122913]
 [-26.277615 -22.775448 -30.461643 ... -23.398193 -22.72913  -27.395206]
 ...
 [-73.359314 -79.880745 -80.       ... -80.       -80.       -63.841995]
 [-73.37347  -79.88152  -80.       ... -80.       -80.       -63.85839 ]
 [-73.39797  -79.86997  -80.       ... -80.       -80.       -63.85961 ]]"
2459627.747643_Tautenburg___6403-8324kHz___10-11.2s___b.,"'Blackbird',",6403,8324,10,11.2,2022,2,17,Morning,05,Winter,"[[-33.850815 -23.424934 -20.804905 ... -38.012974 -23.36754  -19.896938]
 [-28.148773 -19.458136 -17.95501  ... -20.6955   -24.51603  -24.140299]
 [-24.489376 -19.103214 -20.358292 ... -16.267027 -21.817009 -25.652359]
 ...
 [-60.841534 -67.02468  -80.       ... -80.       -80.       -71.87254 ]
 [-60.849167 -67.0303   -80.       ... -80.       -80.       -71.892746]
 [-60.846737 -67.033516 -80.       ... -80.       -80.       -71.903145]]"
2459627.748027_Tautenburg___6031-8695kHz___10-11.3s___b.,"'Blackbird',",6031,8695,10,11.3,2022,2,17,Morning,05,Winter,"[[-19.996073 -14.508615 -30.489386 ...   0.         0.         0.      ]
 [-20.240473 -13.635505 -15.779436 ...   0.         0.         0.      ]
 [-21.838783 -16.063848 -15.4398   ...   0.         0.         0.      ]
 ...
 [-50.162003 -56.123425 -80.       ...   0.         0.         0.      ]
 [-50.175648 -56.134563 -80.       ...   0.         0.         0.      ]
 [-50.180553 -56.1367   -80.       ...   0.         0.         0.      ]]"
2459627.748257_Tautenburg___5990-8964kHz___10-11.1s___b.,"'Blackbird',",5990,8964,10,11.1,2022,2,17,Morning,05,Winter,"[[-21.341005 -26.9349   -30.581543 ...   0.         0.         0.      ]
 [-20.98351  -25.062778 -28.650755 ...   0.         0.         0.      ]
 [-20.47417  -23.43264  -23.201456 ...   0.         0.         0.      ]
 ...
 [-68.68788  -74.97894  -80.       ...   0.         0.         0.      ]
 [-68.68222  -74.995346 -80.       ...   0.         0.         0.      ]
 [-68.70482  -74.99568  -80.       ...   0.         0.         0.      ]]"
2459628.198888_Tautenburg___6733-9521kHz___10-11s___b.,"'Blackbird',",6733,9521,10,11.0,2022,2,17,Afternoon,16,Winter,"[[-25.775364 -47.608196 -38.638046 ...   0.         0.         0.      ]
 [-26.45074  -22.077358 -21.005112 ...   0.         0.         0.      ]
 [-31.15297  -17.852139 -20.26556  ...   0.         0.         0.      ]
 ...
 [-57.069763 -63.21762  -80.       ...   0.         0.         0.      ]
 [-57.071655 -63.22203  -80.       ...   0.         0.         0.      ]
 [-57.07486  -63.225746 -80.       ...   0.         0.         0.      ]]"
2459628.745088_Tautenburg___6485-9377kHz___10-11.1s___b.,"'Blackbird',",6485,9377,10,11.1,2022,2,18,Morning,05,Winter,"[[-27.171558 -23.927364 -38.26994  ...   0.         0.         0.      ]
 [-25.882286 -22.89437  -26.299606 ...   0.         0.         0.      ]
 [-27.565018 -21.090324 -45.672302 ...   0.         0.         0.      ]
 ...
 [-57.054844 -63.316925 -80.       ...   0.         0.         0.      ]
 [-57.062317 -63.327362 -80.       ...   0.         0.         0.      ]
 [-57.069756 -63.330364 -80.       ...   0.         0.         0.      ]]"
2459631.749116_Tautenburg___5722-8923kHz___10-11.6s___b.,"'Blackbird',",5722,8923,10,11.6,2022,2,21,Morning,05,Winter,"[[-19.49089   -20.1868    -25.502605  ...   0.          0.
    0.       ]
 [-16.733162  -11.1985445  -9.384232  ...   0.          0.
    0.       ]
 [-16.569685   -9.452533   -9.177195  ...   0.          0.
    0.       ]
 ...
 [-60.460808  -66.531105  -80.        ...   0.          0.
    0.       ]
 [-60.4645    -66.53628   -80.        ...   0.          0.
    0.       ]
 [-60.46688   -66.53782   -80.        ...   0.          0.
    0.       ]]"
2459648.698932_Tautenburg___6121-9685kHz___10-11.2s___b.,"'Blackbird',",6121,9685,10,11.2,2022,3,10,Night,04,Spring,"[[-38.831413 -44.249256 -38.926865 ...   0.         0.         0.      ]
 [-21.952362 -21.25119  -22.552067 ...   0.         0.         0.      ]
 [-16.427452 -13.169121 -15.162337 ...   0.         0.         0.      ]
 ...
 [-64.96277  -70.605286 -80.       ...   0.         0.         0.      ]
 [-65.02008  -70.64658  -80.       ...   0.         0.         0.      ]
 [-65.02985  -70.65526  -80.       ...   0.         0.         0.      ]]"
2459651.651162_Tautenburg___5154-8154kHz___10-11.7s___b.,"'Blackbird',",5154,8154,10,11.7,2022,3,13,Night,03,Spring,"[[-25.131718 -35.010326 -18.167114 ...   0.         0.         0.      ]
 [-23.93943  -23.923641 -14.834984 ...   0.         0.         0.      ]
 [-16.797005 -15.177216  -8.788253 ...   0.         0.         0.      ]
 ...
 [-67.86286  -73.3801   -80.       ...   0.         0.         0.      ]
 [-67.933685 -73.4663   -80.       ...   0.         0.         0.      ]
 [-67.96336  -73.50467  -80.       ...   0.         0.         0.      ]]"
2459651.696874_Tautenburg___6142-9041kHz___10-11.6s___b.,"'Blackbird',",6142,9041,10,11.6,2022,3,13,Night,04,Spring,"[[-37.743057 -34.13842  -36.0441   ...   0.         0.         0.      ]
 [-28.69234  -27.75547  -22.696507 ...   0.         0.         0.      ]
 [-20.525723 -16.29901  -14.818426 ...   0.         0.         0.      ]
 ...
 [-56.832977 -63.044563 -80.       ...   0.         0.         0.      ]
 [-56.83683  -63.046288 -80.       ...   0.         0.         0.      ]
 [-56.83582  -63.04727  -80.       ...   0.         0.         0.      ]]"
2459651.697957_Tautenburg___5316-9343kHz___10-11.6s___b.,"'Blackbird',",5316,9343,10,11.6,2022,3,13,Night,04,Spring,"[[-32.163277 -42.59172  -54.637096 ...   0.         0.         0.      ]
 [-25.810616 -26.77957  -27.82801  ...   0.         0.         0.      ]
 [-23.206104 -18.08271  -16.821974 ...   0.         0.         0.      ]
 ...
 [-60.61176  -66.72592  -80.       ...   0.         0.         0.      ]
 [-60.611073 -66.732376 -80.       ...   0.         0.         0.      ]
 [-60.61536  -66.73868  -80.       ...   0.         0.         0.      ]]"
2459652.700162_Tautenburg___6282-10611kHz___10-11.3s___b.,"'Blackbird',",6282,10611,10,11.3,2022,3,14,Night,04,Spring,"[[-11.482136  -19.901262  -16.071823  ...   0.          0.
    0.       ]
 [-11.565551  -11.684646  -14.625351  ...   0.          0.
    0.       ]
 [-12.0012665 -18.20635   -14.872108  ...   0.          0.
    0.       ]
 ...
 [-68.87201   -74.53639   -80.        ...   0.          0.
    0.       ]
 [-68.9313    -74.58659   -80.        ...   0.          0.
    0.       ]
 [-68.92869   -74.61657   -80.        ...   0.          0.
    0.       ]]"
2459655.496422_Tautenburg___5255-9403kHz___10-11.8s___b.,"'Blackbird',",5255,9403,10,11.8,2022,3,16,Night,23,Spring,"[[-23.502907 -35.03319  -33.693172 ...   0.         0.         0.      ]
 [-20.593302 -20.533657 -21.781696 ...   0.         0.         0.      ]
 [-18.666245 -20.108103 -24.861298 ...   0.         0.         0.      ]
 ...
 [-68.5694   -74.55641  -80.       ...   0.         0.         0.      ]
 [-68.5914   -74.58757  -80.       ...   0.         0.         0.      ]
 [-68.591965 -74.60478  -80.       ...   0.         0.         0.      ]]"
2459668.675396_Tautenburg___6181-9483kHz___10-11.7s___b.,"'Blackbird',",6181,9483,10,11.7,2022,3,30,Night,04,Spring,"[[-33.123505 -38.786697 -56.308434 ...   0.         0.         0.      ]
 [-38.532623 -34.06381  -40.030247 ...   0.         0.         0.      ]
 [-34.814648 -28.715496 -25.203362 ...   0.         0.         0.      ]
 ...
 [-67.88169  -73.825676 -80.       ...   0.         0.         0.      ]
 [-67.88758  -73.82984  -80.       ...   0.         0.         0.      ]
 [-67.89314  -73.83165  -80.       ...   0.         0.         0.      ]]"
2459671.684676_Tautenburg___5436-9282kHz___10-11.1s___b.,"'Blackbird',",5436,9282,10,11.1,2022,4,2,Night,04,Spring,"[[-22.781204 -32.978775 -53.56353  ...   0.         0.         0.      ]
 [-20.45147  -25.46262  -30.817963 ...   0.         0.         0.      ]
 [-20.315311 -19.680038 -21.789442 ...   0.         0.         0.      ]
 ...
 [-68.353065 -74.40674  -80.       ...   0.         0.         0.      ]
 [-68.359566 -74.43339  -80.       ...   0.         0.         0.      ]
 [-68.362656 -74.45072  -80.       ...   0.         0.         0.      ]]"
2459671.684736_Tautenburg___5216-8739kHz___10-11.4s___b.,"'Blackbird',",5216,8739,10,11.4,2022,4,2,Night,04,Spring,"[[-54.1637   -30.832294 -36.21312  ...   0.         0.         0.      ]
 [-30.824276 -24.44342  -21.908562 ...   0.         0.         0.      ]
 [-23.429787 -20.715275 -19.048725 ...   0.         0.         0.      ]
 ...
 [-52.062317 -58.158745 -80.       ...   0.         0.         0.      ]
 [-52.068745 -58.167416 -80.       ...   0.         0.         0.      ]
 [-52.068035 -58.171307 -80.       ...   0.         0.         0.      ]]"
2459671.684781_Tautenburg___5194-8436kHz___10-11.1s___b.,"'Blackbird',",5194,8436,10,11.1,2022,4,2,Night,04,Spring,"[[-19.247475 -19.735798 -41.57032  ...   0.         0.         0.      ]
 [-20.716772 -17.270065 -23.627914 ...   0.         0.         0.      ]
 [-26.68481  -19.237522 -16.2603   ...   0.         0.         0.      ]
 ...
 [-62.24428  -68.36272  -80.       ...   0.         0.         0.      ]
 [-62.248627 -68.3716   -80.       ...   0.         0.         0.      ]
 [-62.254005 -68.37194  -80.       ...   0.         0.         0.      ]]"
2459671.685435_Tautenburg___4671-8255kHz___10-70.7s___b.,"'Blackbird',",4671,8255,10,70.7,2022,4,2,Night,04,Spring,"[[-15.07122  -12.166494 -15.396347 ...   0.         0.         0.      ]
 [-15.446045 -15.385374 -25.264784 ...   0.         0.         0.      ]
 [-16.660303 -14.513157 -21.83972  ...   0.         0.         0.      ]
 ...
 [-66.69219  -73.96017  -80.       ...   0.         0.         0.      ]
 [-66.9006   -74.204155 -80.       ...   0.         0.         0.      ]
 [-66.93212  -74.31514  -80.       ...   0.         0.         0.      ]]"
2459812.652400_Tautenburg___4913-9524kHz___10-11.5s___b.,"'Blackbird',",4913,9524,10,11.5,2022,8,21,Night,03,Summer,"[[-24.738005 -43.391876 -26.181772 ...   0.         0.         0.      ]
 [-23.473757 -22.42575  -24.596596 ...   0.         0.         0.      ]
 [-21.8662   -26.720276 -24.15826  ...   0.         0.         0.      ]
 ...
 [-56.0636   -62.09828  -80.       ...   0.         0.         0.      ]
 [-56.06801  -62.103004 -80.       ...   0.         0.         0.      ]
 [-56.070686 -62.10752  -80.       ...   0.         0.         0.      ]]"
2459813.279930_Tautenburg___5134-8456kHz___10-63.3s___b.,"'Blackbird',",5134,8456,10,63.3,2022,8,21,Evening,18,Summer,"[[-33.405293 -43.535572 -26.2472   ...   0.         0.         0.      ]
 [-29.373941 -28.421038 -34.085625 ...   0.         0.         0.      ]
 [-26.006046 -24.58444  -35.042946 ...   0.         0.         0.      ]
 ...
 [-55.254322 -61.430912 -80.       ...   0.         0.         0.      ]
 [-55.261967 -61.435604 -80.       ...   0.         0.         0.      ]
 [-55.264786 -61.432213 -80.       ...   0.         0.         0.      ]]"
2459834.658494_Tautenburg___5557-9765kHz___10-11.9s___b.,"'Blackbird',",5557,9765,10,11.9,2022,9,12,Night,03,Autumn,"[[-22.799707 -26.277967 -25.163998 ...   0.         0.         0.      ]
 [-15.406309 -15.690247 -22.14086  ...   0.         0.         0.      ]
 [-13.061376 -11.502972 -14.142157 ...   0.         0.         0.      ]
 ...
 [-55.87513  -62.03254  -80.       ...   0.         0.         0.      ]
 [-55.88703  -62.04545  -80.       ...   0.         0.         0.      ]
 [-55.890495 -62.05272  -80.       ...   0.         0.         0.      ]]"
2459842.676382_Tautenburg___6121-9826kHz___10-11.6s___b.,"'Blackbird',",6121,9826,10,11.6,2022,9,20,Night,04,Autumn,"[[-32.668034 -24.777788 -32.935436 ...   0.         0.         0.      ]
 [-19.535585 -17.228323 -21.02748  ...   0.         0.         0.      ]
 [-14.954177 -10.6744   -13.504516 ...   0.         0.         0.      ]
 ...
 [-65.10201  -70.63382  -80.       ...   0.         0.         0.      ]
 [-65.1769   -70.721275 -80.       ...   0.         0.         0.      ]
 [-65.2094   -70.766396 -80.       ...   0.         0.         0.      ]]"
2459859.623883_Tautenburg___5678-8396kHz___10-11.3s___b.,"'Blackbird',",5678,8396,10,11.3,2022,10,7,Night,02,Autumn,"[[-28.383432 -38.874096 -18.266943 ...   0.         0.         0.      ]
 [-25.303709 -20.325258 -20.167955 ...   0.         0.         0.      ]
 [-21.981256 -20.498402 -23.55622  ...   0.         0.         0.      ]
 ...
 [-51.120937 -57.232586 -80.       ...   0.         0.         0.      ]
 [-51.13208  -57.241467 -80.       ...   0.         0.         0.      ]
 [-51.133106 -57.244083 -80.       ...   0.         0.         0.      ]]"
2459861.573929_Tautenburg___6001-8598kHz___10-11.4s___b.,"'Blackbird',",6001,8598,10,11.4,2022,10,9,Night,01,Autumn,"[[-26.204662 -19.389816 -14.892281 ...   0.         0.         0.      ]
 [-19.26578  -13.366953  -9.34304  ...   0.         0.         0.      ]
 [-16.485302 -14.669031 -10.199477 ...   0.         0.         0.      ]
 ...
 [-45.531418 -51.605316 -80.       ...   0.         0.         0.      ]
 [-45.538624 -51.613422 -80.       ...   0.         0.         0.      ]
 [-45.53944  -51.61797  -80.       ...   0.         0.         0.      ]]"
2459862.374349_Tautenburg___5497-8296kHz___10-11.3s___b.,"'Blackbird',",5497,8296,10,11.3,2022,10,9,Evening,20,Autumn,"[[-18.852268 -18.718084 -34.518326 ...   0.         0.         0.      ]
 [-18.194176 -22.446943 -21.187073 ...   0.         0.         0.      ]
 [-17.968079 -14.235685 -10.807357 ...   0.         0.         0.      ]
 ...
 [-47.3413   -53.349243 -80.       ...   0.         0.         0.      ]
 [-47.34831  -53.36139  -80.       ...   0.         0.         0.      ]
 [-47.35457  -53.365753 -80.       ...   0.         0.         0.      ]]"
2459862.387765_Tautenburg___4611-10188kHz___10-11.3s___b.,"'Blackbird',",4611,10188,10,11.3,2022,10,9,Night,21,Autumn,"[[-29.41851  -20.464655 -15.229546 ...   0.         0.         0.      ]
 [-18.268948 -23.305048 -13.54142  ...   0.         0.         0.      ]
 [-10.339082 -10.047083 -15.488325 ...   0.         0.         0.      ]
 ...
 [-50.788483 -56.852787 -80.       ...   0.         0.         0.      ]
 [-50.80471  -56.870464 -80.       ...   0.         0.         0.      ]
 [-50.804504 -56.871616 -80.       ...   0.         0.         0.      ]]"
2459862.387791_Tautenburg___5457-8980kHz___10-11.4s___b.,"'Blackbird',",5457,8980,10,11.4,2022,10,9,Night,21,Autumn,"[[-25.804764 -25.275002 -32.8036   ...   0.         0.         0.      ]
 [-26.497452 -28.076675 -37.103184 ...   0.         0.         0.      ]
 [-28.735344 -30.355381 -35.127323 ...   0.         0.         0.      ]
 ...
 [-61.933746 -68.2703   -80.       ...   0.         0.         0.      ]
 [-61.945335 -68.27995  -80.       ...   0.         0.         0.      ]
 [-61.946022 -68.28274  -80.       ...   0.         0.         0.      ]]"
2459862.409606_Tautenburg___6443-9383kHz___10-11.1s___b.,"'Blackbird',",6443,9383,10,11.1,2022,10,9,Night,21,Autumn,"[[-18.250473 -22.51956  -23.313835 ...   0.         0.         0.      ]
 [-18.640688 -16.457874 -22.13561  ...   0.         0.         0.      ]
 [-21.129894 -10.899252 -13.9594   ...   0.         0.         0.      ]
 ...
 [-51.633778 -57.799114 -80.       ...   0.         0.         0.      ]
 [-51.643764 -57.806084 -80.       ...   0.         0.         0.      ]
 [-51.638584 -57.80968  -80.       ...   0.         0.         0.      ]]"
2459862.420134_Tautenburg___5759-10027kHz___10-11.2s___b.,"'Blackbird',",5759,10027,10,11.2,2022,10,9,Night,22,Autumn,"[[-22.923784 -20.151869 -22.924192 ...   0.         0.         0.      ]
 [-21.825104 -21.251608 -18.428764 ...   0.         0.         0.      ]
 [-20.121065 -15.267916 -13.651499 ...   0.         0.         0.      ]
 ...
 [-51.684494 -57.61131  -80.       ...   0.         0.         0.      ]
 [-51.694767 -57.62804  -80.       ...   0.         0.         0.      ]
 [-51.703472 -57.630108 -80.       ...   0.         0.         0.      ]]"
2459862.497339_Tautenburg___6363-9202kHz___10-11.5s___b.,"'Blackbird',",6363,9202,10,11.5,2022,10,9,Night,23,Autumn,"[[-36.925076 -28.704082 -32.457275 ...   0.         0.         0.      ]
 [-23.453856 -20.022614 -19.770123 ...   0.         0.         0.      ]
 [-19.393007 -16.250921 -18.22967  ...   0.         0.         0.      ]
 ...
 [-76.08523  -80.       -80.       ...   0.         0.         0.      ]
 [-76.18086  -80.       -80.       ...   0.         0.         0.      ]
 [-76.18954  -80.       -80.       ...   0.         0.         0.      ]]"
2459862.534137_Tautenburg___5980-8195kHz___10-11.2s___b.,"'Blackbird',",5980,8195,10,11.2,2022,10,10,Night,00,Autumn,"[[-43.712982 -43.94883  -55.112206 ...   0.         0.         0.      ]
 [-45.27713  -47.822044 -39.824867 ...   0.         0.         0.      ]
 [-37.238052 -36.262054 -43.024185 ...   0.         0.         0.      ]
 ...
 [-72.25191  -78.50795  -80.       ...   0.         0.         0.      ]
 [-72.259    -78.508575 -80.       ...   0.         0.         0.      ]
 [-72.26076  -78.50702  -80.       ...   0.         0.         0.      ]]"
2459862.572316_Tautenburg___6222-9081kHz___10-10.6s___b.,"'Blackbird',",6222,9081,10,10.6,2022,10,10,Night,01,Autumn,"[[-27.601234 -51.205254 -52.21974  ...   0.         0.         0.      ]
 [-25.321999 -28.741356 -27.984634 ...   0.         0.         0.      ]
 [-20.758392 -22.573616 -22.537218 ...   0.         0.         0.      ]
 ...
 [-68.38014  -73.97746  -80.       ...   0.         0.         0.      ]
 [-68.43197  -74.007416 -80.       ...   0.         0.         0.      ]
 [-68.44637  -74.00462  -80.       ...   0.         0.         0.      ]]"
2459862.572322_Tautenburg___6141-8839kHz___10-11s___b.,"'Blackbird',",6141,8839,10,11.0,2022,10,10,Night,01,Autumn,"[[-30.765022 -34.47899  -29.392487 ... -45.733593 -46.13711  -45.905827]
 [-31.42323  -23.215439 -22.783054 ... -24.757095 -24.843586 -24.29034 ]
 [-40.353436 -19.019257 -16.470394 ... -27.455822 -19.001167 -17.351406]
 ...
 [-57.306305 -63.390766 -80.       ... -80.       -80.       -63.251213]
 [-57.30794  -63.391468 -80.       ... -80.       -80.       -63.25867 ]
 [-57.310482 -63.389763 -80.       ... -80.       -80.       -63.261524]]"
2459862.663111_Tautenburg___6523-8859kHz___10-11s___b.,"'Blackbird',",6523,8859,10,11.0,2022,10,10,Night,03,Autumn,"[[-50.697388 -29.77836  -41.52189  ... -38.585888 -30.285366 -27.355625]
 [-30.618454 -28.101091 -28.544638 ... -28.652714 -31.636732 -28.902943]
 [-25.969336 -37.17644  -24.076832 ... -23.809628 -35.750298 -32.552162]
 ...
 [-67.95012  -74.26253  -80.       ... -80.       -80.       -80.      ]
 [-67.95382  -74.26636  -80.       ... -80.       -80.       -80.      ]
 [-67.96077  -74.26978  -80.       ... -80.       -80.       -80.      ]]"
2459863.504172_Tautenburg___5779-8578kHz___10-11.7s___b.,"'Blackbird',",5779,8578,10,11.7,2022,10,11,Night,00,Autumn,"[[-41.41895  -50.178757 -37.300346 ...   0.         0.         0.      ]
 [-33.161087 -34.57063  -38.816574 ...   0.         0.         0.      ]
 [-25.062183 -28.382364 -34.054974 ...   0.         0.         0.      ]
 ...
 [-80.       -80.       -80.       ...   0.         0.         0.      ]
 [-80.       -80.       -80.       ...   0.         0.         0.      ]
 [-80.       -80.       -80.       ...   0.         0.         0.      ]]"
2459863.686977_Tautenburg___6161-9765kHz___10-11.5s___b.,"'Blackbird',",6161,9765,10,11.5,2022,10,11,Night,04,Autumn,"[[-18.969685  -28.077871  -18.036318  ...   0.          0.
    0.       ]
 [-17.97591   -11.444313  -10.949484  ...   0.          0.
    0.       ]
 [-14.85606    -7.9871273  -7.992733  ...   0.          0.
    0.       ]
 ...
 [-48.117363  -54.31945   -80.        ...   0.          0.
    0.       ]
 [-48.122322  -54.32595   -80.        ...   0.          0.
    0.       ]
 [-48.127182  -54.32734   -80.        ...   0.          0.
    0.       ]]"
2459864.612329_Tautenburg___4993-8617kHz___10-11.8s___b.,"'Blackbird',",4993,8617,10,11.8,2022,10,12,Night,02,Autumn,"[[-24.00868  -30.391867 -45.169083 ...   0.         0.         0.      ]
 [-21.53103  -20.993635 -24.902266 ...   0.         0.         0.      ]
 [-19.654192 -14.116499 -12.949436 ...   0.         0.         0.      ]
 ...
 [-78.54137  -80.       -80.       ...   0.         0.         0.      ]
 [-78.7813   -80.       -80.       ...   0.         0.         0.      ]
 [-78.82243  -80.       -80.       ...   0.         0.         0.      ]]"
2459865.515849_Tautenburg___5980-8759kHz___10-11.3s___b.,"'Blackbird',",5980,8759,10,11.3,2022,10,13,Night,00,Autumn,"[[-42.94346  -31.292025 -25.873968 ...   0.         0.         0.      ]
 [-33.95299  -29.032612 -21.000717 ...   0.         0.         0.      ]
 [-24.657877 -24.618473 -19.9216   ...   0.         0.         0.      ]
 ...
 [-58.84209  -64.903984 -80.       ...   0.         0.         0.      ]
 [-58.849155 -64.908585 -80.       ...   0.         0.         0.      ]
 [-58.85095  -64.91113  -80.       ...   0.         0.         0.      ]]"
