filename,juliandate,loc,low_freq,high_freq,start,end,species,species_eng,species_ger
2459652.650564_Tautenburg___5738-10228kHz___10-10.9s___st,2459652.650564,Tautenburg,5738.0,10228,10,10.9,st,Song Thrush/Singdrossel,
2459652.685285_Tautenburg___6302-11658kHz___10-12.5s___st,2459652.685285,Tautenburg,6302.0,11658,10,12.5,st,Song Thrush/Singdrossel,
2459652.693101_Tautenburg___6282-10953kHz___10-11s___st,2459652.693101,Tautenburg,6282.0,10953,10,11.0,st,Song Thrush/Singdrossel,
2459652.694454_Tautenburg___6342-11094kHz___10-11.1s___st,2459652.694454,Tautenburg,6342.0,11094,10,11.1,st,Song Thrush/Singdrossel,
2459652.697310_Tautenburg___2174-5758kHz___10-11.4s___s.,2459652.69731,Tautenburg,2174.0,5758,10,11.4,s.,Skylark/Feldlerche,
2459652.700162_Tautenburg___6282-10611kHz___10-11.3s___b.,2459652.700162,Tautenburg,6282.0,10611,10,11.3,b.,Blackbird/Amsel,
2459652.701249_Tautenburg___5779-9766kHz___10-11.3s___st,2459652.701249,Tautenburg,5779.0,9766,10,11.3,st,Song Thrush/Singdrossel,
2459652.704347_Tautenburg___6181-10731kHz___10-16s___st,2459652.704347,Tautenburg,6181.0,10731,10,16.0,st,Song Thrush/Singdrossel,
2459653.467413_Tautenburg___5316-8759kHz___10-11.8s___re,2459653.467413,Tautenburg,5316.0,8759,10,11.8,re,Redwing/Rotdrossel,
2459653.474935_Tautenburg___5537-8537kHz___10-10.9s___re,2459653.474935,Tautenburg,5537.0,8537,10,10.9,re,Redwing/Rotdrossel,
2459653.518432_Tautenburg___6000-8436kHz___10-11.8s___re,2459653.518432,Tautenburg,6000.0,8436,10,11.8,re,Redwing/Rotdrossel,
2459653.525212_Tautenburg___6987-10571kHz___10-11.1s___st,2459653.525212,Tautenburg,6987.0,10571,10,11.1,st,Song Thrush/Singdrossel,
2459653.533916_Tautenburg___1631-5336kHz___10-11.6s___s.,2459653.533916,Tautenburg,1631.0,5336,10,11.6,s.,Skylark/Feldlerche,
2459653.560470_Tautenburg___5497-8034kHz___10-11.3s___re,2459653.56047,Tautenburg,5497.0,8034,10,11.3,re,Redwing/Rotdrossel,
2459653.560487_Tautenburg___6927-10048kHz___10-10.8s___st,2459653.560487,Tautenburg,6927.0,10048,10,10.8,st,Song Thrush/Singdrossel,
2459653.599788_Tautenburg___6221-9463kHz___10-11s___st,2459653.599788,Tautenburg,6221.0,9463,10,11.0,st,Song Thrush/Singdrossel,
2459653.604249_Tautenburg___4993-8899kHz___10-11.7s___re,2459653.604249,Tautenburg,4993.0,8899,10,11.7,re,Redwing/Rotdrossel,
2459653.604538_Tautenburg___5195-8376kHz___10-11.1s___re,2459653.604538,Tautenburg,5195.0,8376,10,11.1,re,Redwing/Rotdrossel,
2459653.620169_Tautenburg___4671-8074kHz___10-11.1s___re,2459653.620169,Tautenburg,4671.0,8074,10,11.1,re,Redwing/Rotdrossel,
2459653.682271_Tautenburg___5819-8638kHz___10-11.7s___re,2459653.682271,Tautenburg,5819.0,8638,10,11.7,re,Redwing/Rotdrossel,
2459654.358664_Tautenburg___5940-8739kHz___10-11.7s___re,2459654.358664,Tautenburg,5940.0,8739,10,11.7,re,Redwing/Rotdrossel,
2459654.358820_Tautenburg___5537-8215kHz___10-11.5s___re,2459654.35882,Tautenburg,5537.0,8215,10,11.5,re,Redwing/Rotdrossel,
2459654.372630_Tautenburg___5135-8658kHz___10-11.4s___re,2459654.37263,Tautenburg,5135.0,8658,10,11.4,re,Redwing/Rotdrossel,
2459654.475884_Tautenburg___5859-8315kHz___10-11.1s___re,2459654.475884,Tautenburg,5859.0,8315,10,11.1,re,Redwing/Rotdrossel,
2459654.519462_Tautenburg___6161-10691kHz___10-11.2s___st,2459654.519462,Tautenburg,6161.0,10691,10,11.2,st,Song Thrush/Singdrossel,
2459654.655768_Tautenburg___5859-8859kHz___10-11.3s___re,2459654.655768,Tautenburg,5859.0,8859,10,11.3,re,Redwing/Rotdrossel,
2459654.688249_Tautenburg___5497-9141kHz___10-11.4s___re,2459654.688249,Tautenburg,5497.0,9141,10,11.4,re,Redwing/Rotdrossel,
2459654.690729_Tautenburg___5738-8496kHz___10-11s___st,2459654.690729,Tautenburg,5738.0,8496,10,11.0,st,Song Thrush/Singdrossel,
2459654.690839_Tautenburg___5839-8537kHz___10-11.6s___re,2459654.690839,Tautenburg,5839.0,8537,10,11.6,re,Redwing/Rotdrossel,
2459655.260812_Tautenburg___5738-9342kHz___10-11.7s___re,2459655.260812,Tautenburg,5738.0,9342,10,11.7,re,Redwing/Rotdrossel,
2459655.318973_Tautenburg___5778-8154kHz___10-11.3s___re,2459655.318973,Tautenburg,5778.0,8154,10,11.3,re,Redwing/Rotdrossel,
2459655.357761_Tautenburg___5859-8678kHz___10-11.4s___re,2459655.357761,Tautenburg,5859.0,8678,10,11.4,re,Redwing/Rotdrossel,
2459655.357904_Tautenburg___5678-8658kHz___10-11.4s___re,2459655.357904,Tautenburg,5678.0,8658,10,11.4,re,Redwing/Rotdrossel,
2459655.361785_Tautenburg___5497-9000kHz___10-12.6s___re,2459655.361785,Tautenburg,5497.0,9000,10,12.6,re,Redwing/Rotdrossel,
2459655.361866_Tautenburg___5114-8356kHz___10-13s___re,2459655.361866,Tautenburg,5114.0,8356,10,13.0,re,Redwing/Rotdrossel,
2459655.421098_Tautenburg___6342-11194kHz___10-11.2s___st,2459655.421098,Tautenburg,6342.0,11194,10,11.2,st,Song Thrush/Singdrossel,
2459655.436487_Tautenburg___5417-9142kHz___10-11.7s___re,2459655.436487,Tautenburg,5417.0,9142,10,11.7,re,Redwing/Rotdrossel,
2459655.436664_Tautenburg___5859-8336kHz___10-11.4s___re,2459655.436664,Tautenburg,5859.0,8336,10,11.4,re,Redwing/Rotdrossel,
2459655.443403_Tautenburg___5417-8618kHz___10-14.2s___re,2459655.443403,Tautenburg,5417.0,8618,10,14.2,re,Redwing/Rotdrossel,
2459655.477476_Tautenburg___5618-8537kHz___10-11.6s___re,2459655.477476,Tautenburg,5618.0,8537,10,11.6,re,Redwing/Rotdrossel,
2459655.477527_Tautenburg___6584-10631kHz___10-11s___st,2459655.477527,Tautenburg,6584.0,10631,10,11.0,st,Song Thrush/Singdrossel,
2459655.496422_Tautenburg___5255-9403kHz___10-11.8s___b.,2459655.496422,Tautenburg,5255.0,9403,10,11.8,b.,Blackbird/Amsel,
2459655.561164_Tautenburg___6060-9604kHz___10-11.6s___st,2459655.561164,Tautenburg,6060.0,9604,10,11.6,st,Song Thrush/Singdrossel,
2459655.603758_Tautenburg___5154-7550kHz___10-11s___re,2459655.603758,Tautenburg,5154.0,7550,10,11.0,re,Redwing/Rotdrossel,
2459655.658039_Tautenburg___5416-8215kHz___10-11.8s___re,2459655.658039,Tautenburg,5416.0,8215,10,11.8,re,Redwing/Rotdrossel,
2459655.663046_Tautenburg___5537-9181kHz___10-11.2s___st,2459655.663046,Tautenburg,5537.0,9181,10,11.2,st,Song Thrush/Singdrossel,
2459655.691953_Tautenburg___5436-8778kHz___10-11.7s___re,2459655.691953,Tautenburg,5436.0,8778,10,11.7,re,Redwing/Rotdrossel,
2459655.692074_Tautenburg___5718-8376kHz___10-11.5s___re,2459655.692074,Tautenburg,5718.0,8376,10,11.5,re,Redwing/Rotdrossel,
2459655.692667_Tautenburg___6443-10289kHz___10-11.2s___st,2459655.692667,Tautenburg,6443.0,10289,10,11.2,st,Song Thrush/Singdrossel,
2459656.293606_Tautenburg___5839-8316kHz___10-11.5s___re,2459656.293606,Tautenburg,5839.0,8316,10,11.5,re,Redwing/Rotdrossel,
2459656.542271_Tautenburg___1832-5496kHz___10-32.6s___wn,2459656.542271,Tautenburg,1832.0,5496,10,32.6,wn,Wigeon/Pfeifente,
2459656.572314_Tautenburg___5900-8658kHz___10-11.2s___re,2459656.572314,Tautenburg,5900.0,8658,10,11.2,re,Redwing/Rotdrossel,
2459656.572345_Tautenburg___5859-8295kHz___10-11.5s___re,2459656.572345,Tautenburg,5859.0,8295,10,11.5,re,Redwing/Rotdrossel,
2459656.692087_Tautenburg___6584-10571kHz___10-10.9s___st,2459656.692087,Tautenburg,6584.0,10571,10,10.9,st,Song Thrush/Singdrossel,
2459657.303756_Tautenburg___6020-8174kHz___10-12s___re,2459657.303756,Tautenburg,6020.0,8174,10,12.0,re,Redwing/Rotdrossel,
2459657.364752_Tautenburg___5678-8396kHz___10-11.6s___re,2459657.364752,Tautenburg,5678.0,8396,10,11.6,re,Redwing/Rotdrossel,
2459657.394740_Tautenburg___5154-10248kHz___10-11.5s___st,2459657.39474,Tautenburg,5154.0,10248,10,11.5,st,Song Thrush/Singdrossel,
2459657.396964_Tautenburg___5638-8779kHz___10-12.4s___re,2459657.396964,Tautenburg,5638.0,8779,10,12.4,re,Redwing/Rotdrossel,
2459657.397030_Tautenburg___5256-9041kHz___10-11.3s___re,2459657.39703,Tautenburg,5256.0,9041,10,11.3,re,Redwing/Rotdrossel,
2459657.397057_Tautenburg___5819-8920kHz___10-11.4s___re,2459657.397057,Tautenburg,5819.0,8920,10,11.4,re,Redwing/Rotdrossel,
2459657.397126_Tautenburg___4852-8114kHz___10-11.8s___re,2459657.397126,Tautenburg,4852.0,8114,10,11.8,re,Redwing/Rotdrossel,
2459657.397154_Tautenburg___5195-8074kHz___10-11.6s___re,2459657.397154,Tautenburg,5195.0,8074,10,11.6,re,Redwing/Rotdrossel,
2459657.397830_Tautenburg___6383-8658kHz___10-11.2s___re,2459657.39783,Tautenburg,6383.0,8658,10,11.2,re,Redwing/Rotdrossel,
2459657.399824_Tautenburg___5598-8739kHz___10-11.1s___st,2459657.399824,Tautenburg,5598.0,8739,10,11.1,st,Song Thrush/Singdrossel,
2459657.408235_Tautenburg___6000-8658kHz___10-11.5s___re,2459657.408235,Tautenburg,6000.0,8658,10,11.5,re,Redwing/Rotdrossel,
2459657.413268_Tautenburg___5679-8880kHz___10-11.5s___re,2459657.413268,Tautenburg,5679.0,8880,10,11.5,re,Redwing/Rotdrossel,
2459657.418881_Tautenburg___6786-9685kHz___10-11.2s___st,2459657.418881,Tautenburg,6786.0,9685,10,11.2,st,Song Thrush/Singdrossel,
2459657.418929_Tautenburg___6081-9987kHz___10-10.9s___st,2459657.418929,Tautenburg,6081.0,9987,10,10.9,st,Song Thrush/Singdrossel,
2459657.418982_Tautenburg___6322-9966kHz___10-12.1s___st,2459657.418982,Tautenburg,6322.0,9966,10,12.1,st,Song Thrush/Singdrossel,
2459657.419032_Tautenburg___6101-9161kHz___10-11.6s___st,2459657.419032,Tautenburg,6101.0,9161,10,11.6,st,Song Thrush/Singdrossel,
2459657.420526_Tautenburg___6483-9845kHz___10-11.1s___st,2459657.420526,Tautenburg,6483.0,9845,10,11.1,st,Song Thrush/Singdrossel,
2459657.420710_Tautenburg___5738-8980kHz___10-11s___st,2459657.42071,Tautenburg,5738.0,8980,10,11.0,st,Song Thrush/Singdrossel,
2459657.442370_Tautenburg___5356-8658kHz___10-11.4s___re,2459657.44237,Tautenburg,5356.0,8658,10,11.4,re,Redwing/Rotdrossel,
2459657.475260_Tautenburg___6483-10993kHz___10-11.2s___st,2459657.47526,Tautenburg,6483.0,10993,10,11.2,st,Song Thrush/Singdrossel,
2459657.480144_Tautenburg___5739-11216kHz___10-11.4s___st,2459657.480144,Tautenburg,5739.0,11216,10,11.4,st,Song Thrush/Singdrossel,
2459657.517797_Tautenburg___5537-8819kHz___10-11.2s___re,2459657.517797,Tautenburg,5537.0,8819,10,11.2,re,Redwing/Rotdrossel,
2459657.535835_Tautenburg___6564-10249kHz___10-11.3s___st,2459657.535835,Tautenburg,6564.0,10249,10,11.3,st,Song Thrush/Singdrossel,
2459657.559256_Tautenburg___5598-8719kHz___10-11.2s___re,2459657.559256,Tautenburg,5598.0,8719,10,11.2,re,Redwing/Rotdrossel,
2459657.616765_Tautenburg___6584-9946kHz___10-11.2s___st,2459657.616765,Tautenburg,6584.0,9946,10,11.2,st,Song Thrush/Singdrossel,
2459664.545281_Tautenburg___5799-9222kHz___10-11.2s___re,2459664.545281,Tautenburg,5799.0,9222,10,11.2,re,Redwing/Rotdrossel,
2459664.609403_Tautenburg___5799-8598kHz___10-11.9s___re,2459664.609403,Tautenburg,5799.0,8598,10,11.9,re,Redwing/Rotdrossel,
2459665.265764_Tautenburg___4732-8115kHz___10-11.5s___re,2459665.265764,Tautenburg,4732.0,8115,10,11.5,re,Redwing/Rotdrossel,
2459665.320747_Tautenburg___6282-8779kHz___10-11.3s___re,2459665.320747,Tautenburg,6282.0,8779,10,11.3,re,Redwing/Rotdrossel,
2459665.322360_Tautenburg___5336-8799kHz___10-11.5s___re,2459665.32236,Tautenburg,5336.0,8799,10,11.5,re,Redwing/Rotdrossel,
2459665.371778_Tautenburg___6202-9947kHz___10-11.3s___st,2459665.371778,Tautenburg,6202.0,9947,10,11.3,st,Song Thrush/Singdrossel,
2459665.406721_Tautenburg___6020-8819kHz___10-11.1s___re,2459665.406721,Tautenburg,6020.0,8819,10,11.1,re,Redwing/Rotdrossel,
2459665.433116_Tautenburg___5779-7772kHz___10-11.4s___re,2459665.433116,Tautenburg,5779.0,7772,10,11.4,re,Redwing/Rotdrossel,
2459665.442470_Tautenburg___5699-8598kHz___10-11.3s___re,2459665.44247,Tautenburg,5699.0,8598,10,11.3,re,Redwing/Rotdrossel,
2459665.449876_Tautenburg___6000-9262kHz___10-12.6s___st,2459665.449876,Tautenburg,6000.0,9262,10,12.6,st,Song Thrush/Singdrossel,
2459665.463095_Tautenburg___5336-7953kHz___10-12.2s___re,2459665.463095,Tautenburg,5336.0,7953,10,12.2,re,Redwing/Rotdrossel,
2459665.627029_Tautenburg___5578-7853kHz___10-11.1s___re,2459665.627029,Tautenburg,5578.0,7853,10,11.1,re,Redwing/Rotdrossel,
2459666.335473_Tautenburg___5316-8779kHz___10-11.1s___re,2459666.335473,Tautenburg,5316.0,8779,10,11.1,re,Redwing/Rotdrossel,
2459666.337142_Tautenburg___1028-6343kHz___10-63.6s___mh,2459666.337142,Tautenburg,1028.0,6343,10,63.6,mh,Moorhen/Teichhuhn,
2459666.485032_Tautenburg___5739-10330kHz___10-11.4s___st,2459666.485032,Tautenburg,5739.0,10330,10,11.4,st,Song Thrush/Singdrossel,
2459666.558530_Tautenburg___5919-8275kHz___10-11.2s___re,2459666.55853,Tautenburg,5919.0,8275,10,11.2,re,Redwing/Rotdrossel,
2459666.642369_Tautenburg___6624-9705kHz___10-11.1s___st,2459666.642369,Tautenburg,6624.0,9705,10,11.1,st,Song Thrush/Singdrossel,
